StoreID,CustomerID,ProductID,ProductCategory,Timestamp
1,Cust_0000,['P105'],['Electronics'],[Timestamp('2022-01-09 20:46:00')]
1,Cust_0001,"['P138', 'P130', 'P127', 'P124', 'P140', 'P120', 'P104', 'P104', 'P107', 'P126', 'P105', 'P125', 'P145', 'P106', 'P144', 'P102']","['Home Goods', 'Electronics', 'Books', 'Electronics', 'Grocery', 'Electronics', 'Apparel', 'Apparel', 'Electronics', 'Electronics', 'Electronics', 'Electronics', 'Grocery', 'Books', 'Grocery', 'Electronics']","[Timestamp('2022-01-03 15:31:41'), Timestamp('2022-01-11 14:36:27'), Timestamp('2022-01-11 14:36:27'), Timestamp('2022-01-11 14:36:27'), Timestamp('2022-01-11 14:36:27'), Timestamp('2022-01-11 14:36:27'), Timestamp('2022-01-22 20:09:39'), Timestamp('2022-01-22 20:09:39'), Timestamp('2022-04-24 16:01:07'), Timestamp('2022-04-24 16:01:07'), Timestamp('2022-04-24 16:01:07'), Timestamp('2022-04-24 16:01:07'), Timestamp('2022-04-24 16:01:07'), Timestamp('2022-05-22 14:58:25'), Timestamp('2022-05-22 14:58:25'), Timestamp('2022-05-22 14:58:25')]"
1,Cust_0002,"['P143', 'P121', 'P103', 'P118', 'P149', 'P147', 'P111', 'P140', 'P120']","['Books', 'Grocery', 'Electronics', 'Apparel', 'Apparel', 'Grocery', 'Electronics', 'Grocery', 'Electronics']","[Timestamp('2022-01-29 14:42:42'), Timestamp('2022-01-29 14:42:42'), Timestamp('2022-01-29 14:42:42'), Timestamp('2022-01-29 14:42:42'), Timestamp('2022-01-29 14:42:42'), Timestamp('2022-01-29 14:42:42'), Timestamp('2022-05-18 10:17:32'), Timestamp('2022-06-02 09:38:42'), Timestamp('2022-06-02 09:38:42')]"
1,Cust_0003,"['P145', 'P104']","['Grocery', 'Apparel']","[Timestamp('2022-01-26 17:11:45'), Timestamp('2022-03-25 10:03:10')]"
1,Cust_0004,"['P118', 'P123']","['Apparel', 'Books']","[Timestamp('2022-04-07 10:20:51'), Timestamp('2022-04-07 10:20:51')]"
1,Cust_0005,"['P113', 'P122', 'P118', 'P136', 'P143', 'P127', 'P123', 'P121', 'P105', 'P108']","['Electronics', 'Home Goods', 'Apparel', 'Books', 'Books', 'Books', 'Books', 'Grocery', 'Electronics', 'Grocery']","[Timestamp('2022-01-10 13:35:34'), Timestamp('2022-01-10 13:35:34'), Timestamp('2022-01-10 13:35:34'), Timestamp('2022-01-10 18:01:04'), Timestamp('2022-01-25 09:52:16'), Timestamp('2022-01-25 09:52:16'), Timestamp('2022-01-25 09:52:16'), Timestamp('2022-03-05 12:32:49'), Timestamp('2022-03-05 12:32:49'), Timestamp('2022-04-14 12:29:28')]"
1,Cust_0006,"['P124', 'P120', 'P141', 'P104', 'P126', 'P113', 'P143']","['Electronics', 'Electronics', 'Electronics', 'Apparel', 'Electronics', 'Electronics', 'Books']","[Timestamp('2022-02-03 16:52:51'), Timestamp('2022-02-03 16:52:51'), Timestamp('2022-04-23 20:25:08'), Timestamp('2022-04-23 20:25:08'), Timestamp('2022-04-23 20:25:08'), Timestamp('2022-04-23 20:25:08'), Timestamp('2022-06-03 09:56:35')]"
1,Cust_0009,['P132'],['Electronics'],[Timestamp('2022-02-10 11:56:42')]
1,Cust_0010,['P144'],['Grocery'],[Timestamp('2022-03-15 13:36:27')]
1,Cust_0012,"['P143', 'P139', 'P138']","['Books', 'Grocery', 'Home Goods']","[Timestamp('2022-04-26 15:38:32'), Timestamp('2022-04-26 15:38:32'), Timestamp('2022-04-26 15:38:32')]"
1,Cust_0013,"['P143', 'P115', 'P141']","['Books', 'Apparel', 'Electronics']","[Timestamp('2022-03-04 19:28:03'), Timestamp('2022-03-04 19:28:03'), Timestamp('2022-03-04 19:28:03')]"
1,Cust_0016,"['P147', 'P147']","['Grocery', 'Grocery']","[Timestamp('2022-05-08 16:25:52'), Timestamp('2022-05-08 16:25:52')]"
1,Cust_0017,"['P143', 'P113', 'P122', 'P141', 'P130', 'P103', 'P111', 'P125']","['Books', 'Electronics', 'Home Goods', 'Electronics', 'Electronics', 'Electronics', 'Electronics', 'Electronics']","[Timestamp('2022-03-12 16:51:23'), Timestamp('2022-04-01 17:16:54'), Timestamp('2022-04-01 17:16:54'), Timestamp('2022-04-01 17:16:54'), Timestamp('2022-04-01 17:16:54'), Timestamp('2022-04-14 17:13:52'), Timestamp('2022-04-14 17:13:52'), Timestamp('2022-06-30 10:15:03')]"
1,Cust_0018,"['P102', 'P125', 'P110', 'P108']","['Electronics', 'Electronics', 'Books', 'Grocery']","[Timestamp('2022-03-04 17:21:56'), Timestamp('2022-03-04 17:21:56'), Timestamp('2022-03-04 17:21:56'), Timestamp('2022-05-28 19:10:38')]"
1,Cust_0019,['P110'],['Books'],[Timestamp('2022-03-05 15:57:10')]
1,Cust_0020,"['P124', 'P122', 'P138', 'P127', 'P122']","['Electronics', 'Home Goods', 'Home Goods', 'Books', 'Home Goods']","[Timestamp('2022-01-28 10:54:21'), Timestamp('2022-01-28 10:54:21'), Timestamp('2022-03-08 09:03:34'), Timestamp('2022-03-08 09:03:34'), Timestamp('2022-03-08 09:03:34')]"
