StoreID,TransactionID,ProductID,ProductName,ProductCategory
1,10000,['P105'],['Product P105'],['Electronics']
1,10001,"['P147', 'P132', 'P110']","['Product P147', 'Product P132', 'Product P110']","['Grocery', 'Electronics', 'Books']"
1,10002,"['P130', 'P107', 'P109']","['Product P130', 'Product P107', 'Product P109']","['Electronics', 'Electronics', 'Books']"
1,10003,"['P140', 'P144', 'P143', 'P144', 'P138', 'P112', 'P123', 'P122']","['Product P140', 'Product P144', 'Product P143', 'Product P144', 'Product P138', 'Product P112', 'Product P123', 'Product P122']","['Grocery', 'Grocery', 'Books', 'Grocery', 'Home Goods', 'Home Goods', 'Books', 'Home Goods']"
1,10004,"['P131', 'P100', 'P104', 'P114', 'P117']","['Product P131', 'Product P100', 'Product P104', 'Product P114', 'Product P117']","['Grocery', 'Grocery', 'Apparel', 'Apparel', 'Electronics']"
1,10005,"['P115', 'P106', 'P100', 'P140']","['Product P115', 'Product P106', 'Product P100', 'Product P140']","['Apparel', 'Books', 'Grocery', 'Grocery']"
1,10006,['P143'],['Product P143'],['Books']
1,10007,"['P144', 'P147', 'P118']","['Product P144', 'Product P147', 'Product P118']","['Grocery', 'Grocery', 'Apparel']"
1,10008,"['P113', 'P143', 'P100', 'P147']","['Product P113', 'Product P143', 'Product P100', 'Product P147']","['Electronics', 'Books', 'Grocery', 'Grocery']"
1,10009,"['P138', 'P110']","['Product P138', 'Product P110']","['Home Goods', 'Books']"
1,10010,"['P121', 'P108']","['Product P121', 'Product P108']","['Grocery', 'Grocery']"
1,10011,"['P120', 'P141']","['Product P120', 'Product P141']","['Electronics', 'Electronics']"
1,10112,"['P149', 'P117']","['Product P149', 'Product P117']","['Apparel', 'Electronics']"
1,10113,"['P148', 'P141', 'P104']","['Product P148', 'Product P141', 'Product P104']","['Books', 'Electronics', 'Apparel']"
1,10114,"['P127', 'P141', 'P146']","['Product P127', 'Product P141', 'Product P146']","['Books', 'Electronics', 'Electronics']"
1,10115,['P144'],['Product P144'],['Grocery']
1,10116,['P103'],['Product P103'],['Electronics']
1,10117,"['P108', 'P148']","['Product P108', 'Product P148']","['Grocery', 'Books']"
1,10118,['P104'],['Product P104'],['Apparel']
1,10119,"['P126', 'P145']","['Product P126', 'Product P145']","['Electronics', 'Grocery']"
1,10120,"['P105', 'P110']","['Product P105', 'Product P110']","['Electronics', 'Books']"
1,10121,"['P123', 'P144', 'P122', 'P139']","['Product P123', 'Product P144', 'Product P122', 'Product P139']","['Books', 'Grocery', 'Home Goods', 'Grocery']"
1,10232,"['P131', 'P104']","['Product P131', 'Product P104']","['Grocery', 'Apparel']"
1,10233,"['P119', 'P115', 'P109']","['Product P119', 'Product P115', 'Product P109']","['Books', 'Apparel', 'Books']"
1,10234,"['P145', 'P141', 'P135']","['Product P145', 'Product P141', 'Product P135']","['Grocery', 'Electronics', 'Home Goods']"
1,10235,['P138'],['Product P138'],['Home Goods']
1,10236,"['P143', 'P127', 'P120']","['Product P143', 'Product P127', 'Product P120']","['Books', 'Books', 'Electronics']"
1,10308,"['P101', 'P105', 'P102']","['Product P101', 'Product P105', 'Product P102']","['Grocery', 'Electronics', 'Electronics']"
1,10309,"['P145', 'P114']","['Product P145', 'Product P114']","['Grocery', 'Apparel']"
1,10310,"['P119', 'P147', 'P143']","['Product P119', 'Product P147', 'Product P143']","['Books', 'Grocery', 'Books']"
1,10311,"['P115', 'P144', 'P103']","['Product P115', 'Product P144', 'Product P103']","['Apparel', 'Grocery', 'Electronics']"
1,10312,"['P115', 'P111', 'P109']","['Product P115', 'Product P111', 'Product P109']","['Apparel', 'Electronics', 'Books']"
